classificacao,cidade,id_lote,codigo_legado,nome_legado,nome_oficial,logradouro_legado,endereco_oficial,unidades_sobrepostas,total_unidades_legado,total_unidades_geo,qtd_lotes,qtd_codigos
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,207888,10260,MARTINS DOS SANTOS,,AL ALCIDES DE ARAUJO ROMAO,"AL ALCIDES DE ARAUJO ROMAO  CASA 01 , BAIRRO LOT FAIÇALVILLE",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,123917,6810,MEDRADO I,,R  DESOR. EMILIO FLEURY DE BRITO,"R DESOR. EMILIO FLEURY DE BRITO  CASA 01 , BAIRRO JD MARQUES DE ABREU",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,155698,6251,MELINDA,,R  SB11,"R SB11  CASA 02 , BAIRRO RES SOLAR BOUGAINVILLE",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,139550,2010,MELO MELO ARAUJO,,R  RMP10,"R RMP10  CASA 01 , BAIRRO RES MONTE PASCOAL",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,135546,1978,MELO MELO III,,R  RMP4,"R RMP4  CASA 01 , BAIRRO RES MONTE PASCOAL",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,291073,6249,MENDES BRITO I,,R  RB8,"R RB8 CASA 01 , BAIRRO RES RECANTO DO BOSQUE",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,135924,6130,MENDES DE BRITO,,R  RY3,"R RY3  C-2 , BAIRRO RES YTAPUÃ",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,79783,5777,MENDES I,,AV PERIMETRAL OESTE,"AV PERIMETRAL OESTE CASA 01 , BAIRRO JD BONANZA",3,3,3,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,304781,6293,MENEZES X,,AV DR JAHYR ABRAO ESTRELA,"AV DR JAHYR ABRAO ESTRELA CASA 01 , BAIRRO RES PAULO ESTRELA",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,254910,5563,MESQUITA DE SOUZA V,,R  BOTICELLI,"R BOTICELLI  CASA 01 , BAIRRO S GENTIL MEIRELLES",3,3,3,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,198260,2125,MESQUITA E LIMA V,,R  TORDESILHAS,"R TORDESILHAS  CASA 03 , BAIRRO S TRÊS MARIAS",3,3,3,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,140008,1882,MESQUITA SALLES XVII,,R  PE ADOLFO SERRA,"R PE ADOLFO SERRA  CASA 01 , BAIRRO JD SÃO JOSÉ",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,201354,5957,MESSIAS DOS REIS,,R  MMM4,"R MMM4  CASA 01 , BAIRRO S TRÊS MARIAS",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,361835,2117,M ESTRELA DO HIRAMAR VI,,R  BM25,"R BM25 CASA 02 , BAIRRO RES BRISAS DA MATA",2,2,2,1,1
AUTO_ALIAS_1A1_TOTAIS_IGUAIS,goiania,165545,5490,M.F DE ALMEIDA RESIDENCI VII,,R  LIBERDADE,"R LIBERDADE  CASA 01 , BAIRRO RES SANTA FÉ I",2,2,2,1,1
