classificacao,cidade,id_lote,codigo_legado,nome_legado,nome_oficial,logradouro_legado,endereco_oficial,unidades_sobrepostas,total_unidades_legado,total_unidades_geo,qtd_lotes,qtd_codigos
REVISAO_CODIGO_MULTILOTE,goiania,24629,3958,RES GRAND VIEW,,AV C16,"R FERNANDES CASA 01 , BAIRRO S ESTRELA DALVA",2,9,2,2,1
REVISAO_CODIGO_MULTILOTE,goiania,48262,5148,RES GRAN LEST,,R  242,"R HM2 LT 22 C-1 , BAIRRO RES HUGO DE MORAES",3,146,3,2,1
REVISAO_CODIGO_MULTILOTE,goiania,365186,5148,RES GRAN LEST,RESIDENCIAL GRAN LEST,R  242,"R 242 S/N AP2002 , BAIRRO S LESTE UNIVERSITÁRIO",143,146,143,2,1
REVISAO_CODIGO_MULTILOTE,goiania,156159,5261,RES GRAN OASIS,,R  T52,"R FV35  CASA 01 , BAIRRO RES FORTE VILLE - EXTENSÃO",2,118,2,2,1
REVISAO_CODIGO_MULTILOTE,goiania,242278,5261,RES GRAN OASIS,RESIDENCIAL GRAN OÁSIS,R  T52,"R T52  AP 501 , BAIRRO S BUENO",116,118,116,2,1
REVISAO_CODIGO_MULTILOTE,goiania,135742,3977,RES GRAN ROYALE,,R  238,"ESTGYN20  CASA 1 , BAIRRO PRQ ELDORADO OESTE",2,105,2,2,1
REVISAO_CODIGO_MULTILOTE,goiania,259370,3977,RES GRAN ROYALE,RESIDENCIAL GRAN ROYALE,R  238,"R 238 SN APT. 201 , BAIRRO S LESTE UNIVERSITÁRIO",103,105,103,2,1
REVISAO_CODIGO_MULTILOTE,goiania,134120,3521,RES GREEN HILLS,,R  T64,"R BENEDITO DE MELO  CASA 01 , BAIRRO JD SÃO JOSÉ",3,150,3,2,1
REVISAO_CODIGO_MULTILOTE,goiania,239565,3521,RES GREEN HILLS,RESIDENCIAL GREEN HILLS,R  T64,"R T64 S/N     ESC 05 , BAIRRO S BELA VISTA",147,150,147,2,1
REVISAO_CODIGO_MULTILOTE,goiania,108939,4524,RES GREENVILLE PARK RESIDENCI,RESIDENCIAL ACÁCIAS,R  SM36,"R JC302 APT101A , BAIRRO RES JARDINS DO CERRADO 7",152,173,152,2,1
REVISAO_CODIGO_MULTILOTE,goiania,132533,4524,RES GREENVILLE PARK RESIDENCI,CONDOMÍNIO GREENVILLE,R  SM36,"R SM36  CASA 01 , BAIRRO RES SÃO MARCOS",21,173,21,2,1
REVISAO_CODIGO_MULTILOTE,goiania,170984,4166,RES GREGORIO,,R  ARACRUZ,"R ARACRUZ  CASA 01 , BAIRRO RES CAMPOS DOURADOS",2,82,2,2,1
REVISAO_CODIGO_MULTILOTE,goiania,409355,4166,RES GREGORIO,CONDOMÍNIO ROSA DOS VENTOS,R  ARACRUZ,"R PRESIDENTE JOSE LINHARES 50      APT101.BL1T.SUL , BAIRRO JD PRESIDENTE",80,82,654,2,8
REVISAO_CODIGO_MULTILOTE,goiania,10570,3744,RES GUANAMBI,RESIDENCIAL GUANAMBI,R  C80,"R C80  AP202BX04 , BAIRRO S SUDOESTE",8,10,8,2,1
REVISAO_CODIGO_MULTILOTE,goiania,321203,3744,RES GUANAMBI,,R  C80,"R GR14 CASA 02 , BAIRRO RES MAR DEL PLATA",2,10,2,2,1
REVISAO_CODIGO_MULTILOTE,goiania,210415,285,RES GUEDES,,R  4,"AV PRESIDENTE VARGAS SN      CASA 02 , BAIRRO JD PRESIDENTE",2,113,2,2,1
REVISAO_CODIGO_MULTILOTE,goiania,299694,285,RES GUEDES,EDIFÍCIO VERNIER CLUB,R  4,"R 4 516     BOX 07 , BAIRRO S OESTE",111,113,111,2,1
REVISAO_CODIGO_MULTILOTE,goiania,108554,5068,RES.H.A.L,CONDOMÍNIO NELSON MANDELA 1,R  JUCA RODRIGUES,"R NHANHA DO COUTO S/N APTO101 BL A , BAIRRO CJ VERA CRUZ",256,259,256,2,1
REVISAO_CODIGO_MULTILOTE,goiania,135698,5068,RES.H.A.L,,R  JUCA RODRIGUES,"R JUCA RODRIGUES  CASA 01 , BAIRRO RES BUENA VISTA III",3,259,3,2,1
REVISAO_CODIGO_MULTILOTE,goiania,239187,3426,RES.HANNOVER I,EDIFÍCIO HANNOVER,R  S2,"R S2 S/N     AP1002 , BAIRRO S BELA VISTA",102,104,102,2,1
REVISAO_CODIGO_MULTILOTE,goiania,342936,3426,RES.HANNOVER I,,R  S2,"R BM15 CASA 01 , BAIRRO RES BRISAS DA MATA",2,104,2,2,1
REVISAO_CODIGO_MULTILOTE,goiania,198788,4034,RES HAPPY,,R  LAS VELAS,"R LAS VELAS  CASA 01 , BAIRRO S TRÊS MARIAS",2,70,2,2,1
REVISAO_CODIGO_MULTILOTE,goiania,316545,4034,RES HAPPY,CONDOMÍNIO RESIDENCIAL PORTAL DAS DUNAS,R  LAS VELAS,"TR INCA S/N APT203 , BAIRRO S NEGRÃO DE LIMA",68,70,204,2,3
REVISAO_CODIGO_MULTILOTE,goiania,11404,5043,RES HARMONIA,RESIDENCIAL HARMONIA,R  C80,"R C80  APTO 101 , BAIRRO S SUDOESTE",9,11,9,2,1
REVISAO_CODIGO_MULTILOTE,goiania,316584,5043,RES HARMONIA,,R  C80,"R JARACATIA CASA 01 , BAIRRO BRO SANTA GENOVEVA",2,11,2,2,1
REVISAO_CODIGO_MULTILOTE,goiania,88454,4659,RES HAVILAH,,R  T51,"R GERALDO SILVERIO DO NASCIMENTO  CASA 01 , BAIRRO RES PILAR DOS SONHOS",2,245,2,2,1
REVISAO_CODIGO_MULTILOTE,goiania,242237,4659,RES HAVILAH,RESIDENCIAL HAVILAH,R  T51,"R T51 S/N     BOX36 T , BAIRRO S BUENO",243,245,243,2,1
REVISAO_CODIGO_MULTILOTE,goiania,5661,3572,RES HAYWARD,RESIDENCIAL HAYWARD 176,R  11,"R 5 AP101A+BOX47 , BAIRRO VL AURORA",291,294,291,2,1
REVISAO_CODIGO_MULTILOTE,goiania,191206,3572,RES HAYWARD,,R  11,"AV JULIO CESAR  CASA 02 , BAIRRO JD PLANALTO",3,294,3,2,1
REVISAO_CODIGO_MULTILOTE,goiania,126933,4126,RES HELENA BARBOSA RESIDENCE I,,R  D. NINFA DA SILVA ABREU,"R D. NINFA DA SILVA ABREU  CASA 01 , BAIRRO JD MARQUES DE ABREU",3,81,3,2,1
REVISAO_CODIGO_MULTILOTE,goiania,350013,4126,RES HELENA BARBOSA RESIDENCE I,RESIDENCIAL EUROVILLE I E II,R  D. NINFA DA SILVA ABREU,"R 2 S/N AP101 , BAIRRO CH ALTO DA GLÓRIA",78,81,351,2,5
REVISAO_CODIGO_MULTILOTE,goiania,12372,4415,RES HELENA GRATAO,RESIDENCIAL HELENA GRATÃO,AV C13,"AV C13  APT104 , BAIRRO S SUDOESTE",12,14,12,2,1
REVISAO_CODIGO_MULTILOTE,goiania,96412,4415,RES HELENA GRATAO,,AV C13,"R TAMOIOS  CASA 01 , BAIRRO RES PETRÓPOLIS",2,14,2,2,1
REVISAO_CODIGO_MULTILOTE,goiania,88265,6855,RES. HELLEN PRISCILLA I,,R  SAO SEBASTIAO,"R SAO SEBASTIAO CASA 01 , BAIRRO VL REGINA",1,3,2,2,2
